muscle_group,label,peak_amplitude_adc,spike_start_s,spike_end_s,spike_length_s
shoulder,Shoulder Pitch,705.6447895791584,-0.3286573146292585,0.4979959919839678,0.8266533066132263
elbow_flexion,Elbow Flexion (Bicep),519.0986973947896,-0.1583166332665331,0.6683366733466933,0.8266533066132264
elbow_extension,Elbow Extension (Tricep),706.6528056112224,-0.11823647294589179,1.0891783567134268,1.2074148296593186
wrist_flexion,Wrist Flexion (Flexor),403.6968937875752,-0.218436873747495,0.3877755511022043,0.6062124248496993
wrist_extension,Wrist Extension (Extensor),512.584669338677,-0.29859719438877763,0.7785571142284569,1.0771543086172346
grip,Grip,547.8972945891785,-0.10821643286573146,0.29759519038076143,0.4058116232464929
