t_leader,t_follower,leader__shoulder_pan.pos,follower__shoulder_pan.pos,leader__shoulder_lift.pos,follower__shoulder_lift.pos,leader__elbow_flex.pos,follower__elbow_flex.pos,leader__wrist_flex.pos,follower__wrist_flex.pos,leader__wrist_roll.pos,follower__wrist_roll.pos,leader__gripper.pos,follower__gripper.pos
6.410000423784368e-07,0.003034679999927903,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.004724163999981101,0.007664002999717923,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.009170086999802152,0.011821485999917059,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.013490269999692828,0.0160556450000513,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.017987351000101626,0.020827830999678554,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.022383869999885064,0.025181648999932804,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.026722509999672184,0.0297203800000716,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.031464376999792876,0.03418118199988385,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.035988138999982766,0.0389706699997987,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.040872919999856094,0.04372921000003771,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.04525038299971129,0.04798827700005859,-10.08890606880557,-1.7968463513017952,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.04941341699986879,0.05243346899987955,-10.08890606880557,-1.8701870187018699,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.05394472299985864,0.056896434999998746,-10.08890606880557,-1.8701870187018699,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5409035409035567,1.7937219730941705,2.0314547837483614
0.058543909000036365,0.06115694499976598,-10.08890606880557,-2.0168683535020193,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.30795262267344,5.641025641025649,3.5897435897436054,1.7937219730941705,2.0314547837483614
0.06280049099996177,0.06586736300005214,-10.08890606880557,-2.090209020902094,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.39255499153977,5.641025641025649,3.6874236874237027,1.7937219730941705,2.0314547837483614
0.06755132699981914,0.07037721799997598,-10.08890606880557,-2.2368903557022435,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.39255499153977,5.641025641025649,3.7362637362637514,1.7937219730941705,2.0314547837483614
0.07194825599981414,0.07494067600009657,-10.08890606880557,-2.3835716905023787,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.39255499153977,5.641025641025649,3.8339438339438487,1.7937219730941705,2.0314547837483614
0.09061264999991181,0.09329627099987192,-10.08890606880557,-3.1903190319031864,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.39255499153977,5.641025641025649,4.126984126984141,1.7937219730941705,2.0314547837483614
0.09479492099990239,0.09779227999979412,-10.08890606880557,-3.4103410341034106,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.39255499153977,5.641025641025649,4.224664224664238,1.7937219730941705,2.0314547837483614
0.09940477700001793,0.10224697000012384,-10.08890606880557,-3.6303630363036348,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.322344322344335,1.7937219730941705,2.0314547837483614
0.1038894349999282,0.10688874700008455,-10.08890606880557,-3.9237257059039194,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.371184371184384,1.7937219730941705,2.0314547837483614
0.1084710370000721,0.11109660600004645,-10.08890606880557,-4.143747708104144,-100.0,-99.08447773616312,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.468864468864481,1.7937219730941705,2.0314547837483614
0.11278297499984546,0.11570381799992902,-10.08890606880557,-4.437110377704428,-100.0,-99.16770703287557,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.51770451770453,1.7937219730941705,2.0314547837483614
0.1172415920000276,0.12015571199981423,-10.08890606880557,-4.730473047304727,-100.0,-99.16770703287557,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.566544566544579,1.7937219730941705,2.0314547837483614
0.12185799100006989,0.12477852299980441,-10.08890606880557,-5.023835716905026,-100.0,-99.16770703287557,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.615384615384627,1.7937219730941705,2.0314547837483614
0.12628976699988925,0.12883452300002318,-10.08890606880557,-5.317198386505311,-100.0,-99.16770703287557,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.664224664224676,1.7937219730941705,2.0314547837483614
0.13033445499968366,0.1330555069998809,-10.08890606880557,-5.537220388705535,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.713064713064725,1.7937219730941705,2.0314547837483614
0.1345731829997021,0.1372547199998735,-10.08890606880557,-5.757242390905759,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.713064713064725,1.7937219730941705,2.0314547837483614
0.13894402300002184,0.1418786529998215,-10.08890606880557,-6.050605060506058,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.761904761904773,1.7937219730941705,2.0314547837483614
0.14359473800004707,0.1462403959999392,-10.08890606880557,-6.270627062706268,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.810744810744822,1.7937219730941705,2.0314547837483614
0.14772861499977807,0.1508231809998506,-10.08890606880557,-6.563989732306567,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.859584859584871,1.7937219730941705,2.0314547837483614
0.15260903799980952,0.15516072699983852,-10.08890606880557,-6.784011734506777,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.859584859584871,1.7937219730941705,2.0314547837483614
0.15663180399997145,0.15919922300008693,-10.08890606880557,-7.004033736707001,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.908424908424919,1.7937219730941705,2.0314547837483614
0.16082524600005854,0.16356118599969705,-10.08890606880557,-7.15071507150715,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.908424908424919,1.7937219730941705,2.0314547837483614
0.16521344900002077,0.16813349099993502,-10.08890606880557,-7.3707370737073745,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.957264957264968,1.7937219730941705,2.0314547837483614
0.17017318299986073,0.17284097299989298,-10.08890606880557,-7.590759075907599,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,4.957264957264968,1.7937219730941705,2.0314547837483614
0.17449331599982543,0.17701952600009463,-10.08890606880557,-7.664099743307659,-100.0,-99.25093632958801,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.006105006105017,1.7937219730941705,2.0314547837483614
0.17857876199968814,0.1811871989998508,-10.08890606880557,-7.810781078107809,-100.0,-99.33416562630046,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.006105006105017,1.7937219730941705,2.0314547837483614
0.18277695200004018,0.18565364100004444,-10.08890606880557,-7.957462412907958,-100.0,-99.33416562630046,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.054945054945065,1.7937219730941705,2.0314547837483614
0.18732934899981046,0.19002857899977244,-10.08890606880557,-8.104143747708108,-100.0,-99.33416562630046,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.054945054945065,1.7937219730941705,2.0314547837483614
0.19179897699996218,0.1948102530000142,-10.08890606880557,-8.177484415108182,-100.0,-99.33416562630046,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.103785103785114,1.7937219730941705,2.0314547837483614
0.19633032299998376,0.1990315279999777,-10.08890606880557,-8.250825082508257,-100.0,-99.33416562630046,99.45848375451263,99.4609164420485,-99.0418118466899,-98.4771573604061,5.641025641025649,5.103785103785114,1.7937219730941705,2.0314547837483614
