Time_s,ADC
0.82,52
0.82,51
0.82,50
0.82,49
0.82,49
0.83,48
0.83,48
0.83,49
0.83,50
0.83,50
0.83,55
0.83,57
0.84,56
0.84,56
0.84,55
0.84,54
0.84,53
0.84,52
0.85,50
0.85,49
0.85,50
0.85,49
0.85,49
0.85,48
0.86,46
0.86,46
0.86,46
0.86,45
0.86,44
0.86,43
0.86,42
0.87,42
0.87,43
0.87,42
0.87,42
0.87,44
0.87,44
0.88,44
0.88,49
0.88,53
0.88,54
0.88,53
0.88,51
0.88,51
0.88,52
0.89,51
0.89,51
0.89,52
0.89,52
0.89,50
0.89,49
0.9,49
0.9,49
0.9,49
0.9,48
0.9,47
0.9,48
0.91,49
0.91,49
0.91,49
0.91,49
0.91,52
0.91,54
0.91,54
0.92,52
0.92,52
0.92,53
0.92,52
0.92,51
0.92,50
0.93,49
0.93,48
0.93,48
0.93,47
0.93,46
0.93,46
0.93,45
0.94,44
0.94,43
0.94,43
0.94,43
0.94,43
0.94,43
0.95,42
0.95,43
0.95,46
0.95,46
0.95,46
0.95,47
0.95,46
0.96,45
0.96,44
0.96,43
0.96,42
0.96,42
0.96,42
0.97,45
0.97,50
0.97,53
0.97,55
0.97,60
0.97,63
0.98,65
0.98,65
0.98,65
0.98,64
0.98,62
0.98,60
0.98,59
0.99,58
0.99,57
0.99,56
0.99,54
0.99,53
0.99,52
1.0,51
1.0,50
1.0,50
1.0,49
1.0,48
1.0,47
1.0,47
1.01,46
1.01,44
1.01,43
1.01,43
1.01,43
1.01,43
1.01,42
1.02,41
1.02,40
1.02,42
1.02,45
1.02,47
1.02,48
1.03,48
1.03,52
1.03,53
1.03,52
1.03,54
1.03,56
1.03,54
1.04,54
1.04,55
1.04,57
1.04,58
1.04,57
1.04,57
1.05,57
1.05,55
1.05,57
1.05,58
1.05,60
1.05,63
1.05,63
1.06,64
1.06,69
1.06,72
1.06,74
1.06,74
1.06,74
1.07,74
1.07,71
1.07,71
1.07,72
1.07,71
1.07,69
1.08,67
1.08,66
1.08,64
1.08,62
1.08,63
1.08,63
1.08,62
1.09,62
1.09,62
1.09,61
1.09,61
1.09,66
1.09,72
1.1,75
1.1,74
1.1,72
1.1,72
1.1,74
1.1,76
1.1,80
1.11,81
1.11,80
1.11,78
1.11,78
1.11,77
1.11,76
1.12,74
1.12,72
1.12,70
1.12,68
1.12,66
1.12,68
1.12,70
1.13,72
1.13,72
1.13,70
1.13,70
1.13,70
1.13,70
1.13,69
1.14,68
1.14,66
1.14,65
1.14,64
1.14,63
1.14,62
1.15,63
1.15,64
1.15,64
1.15,65
1.15,68
1.15,67
1.16,66
1.16,65
1.16,64
1.16,63
1.16,61
1.16,62
1.16,63
1.17,63
1.17,63
1.17,62
1.17,60
1.17,58
1.17,58
1.18,57
1.18,61
1.18,65
1.18,67
1.18,67
1.18,65
1.18,65
1.19,65
1.19,64
1.19,63
1.19,61
1.19,61
1.2,60
1.2,59
1.2,59
1.2,60
1.2,60
1.2,60
1.2,59
1.21,57
1.21,57
1.21,56
1.21,54
1.21,53
1.21,52
1.21,51
1.22,49
1.22,48
1.22,47
1.22,47
1.22,46
1.22,51
1.23,60
1.23,66
1.23,70
1.23,84
1.23,94
1.23,97
1.23,96
1.24,93
1.24,91
1.24,89
1.24,87
1.24,84
1.24,83
1.25,80
1.25,78
1.25,77
1.25,75
1.25,73
1.25,71
1.25,70
1.26,68
1.26,66
1.26,64
1.26,63
1.26,62
1.26,62
1.26,62
1.27,61
1.27,64
1.27,67
1.27,67
1.27,66
1.27,66
1.28,66
1.28,66
1.28,65
1.28,63
1.28,64
1.28,67
1.29,70
1.29,70
1.29,73
1.29,77
1.29,79
1.29,80
1.29,80
1.3,78
1.3,77
1.3,76
1.3,78
1.3,83
1.3,88
1.31,88
1.31,93
1.31,103
1.31,111
1.31,112
1.31,111
1.32,109
1.32,107
1.32,104
1.32,101
1.32,101
1.32,101
1.33,101
1.33,103
1.33,105
1.33,102
1.33,99
1.33,97
1.34,95
1.34,94
1.34,91
1.34,88
1.34,86
1.34,83
1.34,81
1.35,79
1.35,77
1.35,76
1.35,73
1.35,73
1.35,77
1.35,83
1.36,85
1.36,84
1.36,92
1.36,101
1.36,106
1.36,106
1.37,103
1.37,101
1.37,98
1.37,96
1.37,93
1.37,91
1.37,88
1.38,85
1.38,84
1.38,84
1.38,82
1.38,81
1.38,83
1.39,87
1.39,90
1.39,91
1.39,88
1.39,86
1.39,84
1.39,83
1.4,81
1.4,83
1.4,85
1.4,85
1.4,83
1.4,81
1.4,79
1.41,77
1.41,75
1.41,73
1.41,76
1.41,86
1.41,97
1.42,98
1.42,107
1.42,114
1.42,115
1.42,117
1.42,115
1.43,113
1.43,111
1.43,109
1.43,106
1.43,105
1.43,104
1.44,102
1.44,100
1.44,97
1.44,95
1.44,94
1.44,96
1.45,96
1.45,94
1.45,92
1.45,90
1.45,90
1.45,89
1.46,93
1.46,94
1.46,93
1.46,91
1.46,89
1.46,87
1.46,87
1.47,89
1.47,90
1.47,89
1.47,87
1.47,89
1.47,98
1.48,106
1.48,106
1.48,108
1.48,117
1.48,128
1.48,129
1.48,126
1.49,122
1.49,120
1.49,121
1.49,118
1.49,117
1.49,117
1.5,115
1.5,113
1.5,111
1.5,109
1.5,111
1.5,112
1.5,112
1.51,110
1.51,107
1.51,103
1.51,100
1.51,97
1.51,96
1.52,94
1.52,92
1.52,91
1.52,92
1.52,91
1.52,90
1.52,87
1.53,85
1.53,83
1.53,81
1.53,81
1.53,80
1.53,78
1.54,76
1.54,74
1.54,74
1.54,74
1.54,72
1.54,73
1.55,74
1.55,74
1.55,73
1.55,71
1.55,70
1.55,71
1.55,71
1.56,72
1.56,77
1.56,84
1.56,92
1.56,96
1.56,95
1.57,104
1.57,113
1.57,117
1.57,118
1.57,119
1.57,119
1.58,120
1.58,120
1.58,117
1.58,113
1.58,111
1.58,112
1.59,112
1.59,112
1.59,109
1.59,111
1.59,114
1.59,114
1.6,113
1.6,114
1.6,119
1.6,122
1.6,123
1.6,119
1.6,117
1.61,116
1.61,114
1.61,110
1.61,108
1.61,107
1.61,104
1.61,101
1.62,100
1.62,104
1.62,109
1.62,109
1.62,106
1.63,102
1.63,101
1.63,102
1.63,101
1.63,101
1.63,103
1.63,103
1.64,100
1.64,100
1.64,98
1.64,100
1.64,102
1.64,100
1.65,102
1.65,106
1.65,105
1.65,107
1.65,113
1.65,117
1.65,118
1.66,114
1.66,112
1.66,110
1.66,108
1.66,105
1.66,105
1.67,105
1.67,107
1.67,105
1.67,105
1.67,108
1.67,114
1.68,119
1.68,118
1.68,122
1.68,132
1.68,142
1.68,148
1.69,151
1.69,149
1.69,149
1.69,146
1.69,145
1.69,141
1.7,137
1.7,135
1.7,134
1.7,136
1.7,137
1.7,139
1.7,139
1.71,136
1.71,132
1.71,129
1.71,125
1.71,122
1.72,120
1.72,118
1.72,117
1.72,115
1.72,115
1.72,112
1.72,109
1.73,109
1.73,106
1.73,103
1.73,100
1.73,99
1.73,103
1.74,107
1.74,108
1.74,105
1.74,101
1.74,99
1.74,103
1.74,108
1.75,105
1.75,105
1.75,103
1.75,102
1.75,103
1.75,110
1.76,111
1.76,113
1.76,112
1.76,111
1.76,114
1.76,116
1.77,118
1.77,121
1.77,121
1.77,119
1.77,116
1.77,118
1.77,123
1.78,124
1.78,124
1.78,122
1.78,127
1.78,136
1.78,145
1.79,149
1.79,149
1.79,144
1.79,140
1.79,137
1.79,133
1.8,129
1.8,125
1.8,125
1.8,124
1.8,120
1.8,119
1.81,119
1.81,116
1.81,115
1.81,117
1.81,120
1.81,121
1.82,122
1.82,123
1.82,123
1.82,122
1.82,120
1.82,116
1.82,118
1.83,124
1.83,124
1.83,126
1.83,126
1.83,130
1.84,131
